response_id,treatment_group,Age-Gender Splits: Men 18-24,Age-Gender Splits: Men 25-44,Age-Gender Splits: Men 45-64,Age-Gender Splits: Men 65+,Age-Gender Splits: Women 18-24,Age-Gender Splits: Women 25-44,Age-Gender Splits: Women 45-64,Age-Gender Splits: Women 65+,Age: 18-34,Age: 35-54,Age: 55+,Annual Household Income: $100k-$150k,Annual Household Income: $40k-$100k,Annual Household Income: <$40k,Custom Segments: DC/Northeast Corridor,Custom Segments: Opinion Elites (Broad),Custom Segments: Opinion Elites (Narrow),Customers: Canada Goose,Customers: Carhartt,Customers: Columbia Sportswear,Customers: L.L. Bean,Customers: Lululemon,Customers: None of These,Customers: Patagonia,Customers: The North Face,Education: College,Education: Non-University,Education: Postgrad,Environmentally Conscious Shoppers: Environmentally Conscious Shoppers,Environmentally Conscious Shoppers: Low,Ethnicity: Asian & Pacific Islander,Ethnicity: Black,Ethnicity: Latinx,Ethnicity: Other,Ethnicity: White,Fashion/Fit Shoppers: Fashion/Fit Shoppers,Fashion/Fit Shoppers: Low,Gender: Men,Gender: Women,Job Level: Management or executive position,Job Level: Non-management position,Job Level: Not relevant,Job Level: Self-employed,Job Sector: Government / public sector,Job Sector: Healthcare,Job Sector: Journalism / media / entertainment,Job Sector: Not relevant,Job Sector: Other,"Job Title: CEO, CMO, COO or other C-level executive",Job Title: Director,Job Title: Junior staff,Job Title: Other,Job Title: Project Manager        ,Job Title: Senior Director,Job Title: Senior Vice President,Job Title: Team Manager,Job Title: Vice President,"News Consumption: More than once a day,",News Consumption: Once a day,News Consumption: Rarely,News Consumption: Several times a week,News Consumption: Weekly,Outdoor Activities: I do a lot of outdoor activities,Outdoor Activities: I do some outdoor activities,Outdoor Activities: I don’t do outdoor activities,Urbanization: City,Urbanization: Rural,Urbanization: Suburb,Value Shoppers: Low,Value Shoppers: Value Shoppers,What was the most memorable part of the video you watched?,weight
6536c82df1ad4e001d28eb53,Patagonia Archive in Ventura,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,That it was an archive with much items,1.209243146477644
6536c82e8cad3a001db81b2e,Patagonia HQ's Café Sous Chef,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,The food,1.265903853352365
6536c83fff62a7001da2c3b3,Patagonia's Philosopher Vincent Stanley,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,The nostalgia ,1.3283657170910181
6536c84d98863b001d5d5574,Patagonia's Forge with Nelle Smith,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,That she was the manager.,1.209243146477644
6536c856e41c7c001c8b3b05,Patagonia's Philosopher Vincent Stanley,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,Waves,1.6668040438365248
6536c85708d44f001e60d4cb,Patagonia's Forge with Nelle Smith,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,The stuff that she made an the clothes ,0.44823195872248095
6536c87ad29457001ed76d42,Patagonia Archive in Ventura,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,The various uses of the archive and how these ladies have put so much heart and soul into it.,0.6940318037195022
6536c885a1eabd001d536b66,Patagonia's Forge with Nelle Smith,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,"The teamwork, caring for the product and one another",1.265903853352365
6536c8b3fc3eb1002349002f,Patagonia's Forge with Nelle Smith,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,The brand,1.6449026411897036
6536c8d8d29457001ed76d4a,Patagonia's Quality Control,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,The life story of the worker in Patagonia stores,0.697236769172928
